               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 161,            0.098801,              0.1412,            0.021916,             0.46647,             0.35248,             0.35061,             0.19078,            0.099298,             0.20837,            0.028844,             0.00208,             0.00208,             0.00208
                 162,            0.099229,             0.14126,            0.021929,             0.46832,             0.35185,             0.35075,             0.19094,            0.099297,             0.20842,            0.028844,           0.0020305,           0.0020305,           0.0020305
                 163,            0.099139,             0.14233,            0.021944,             0.46651,             0.35164,             0.35059,             0.19096,            0.099293,             0.20842,            0.028844,            0.001981,            0.001981,            0.001981
                 164,            0.099629,             0.14386,            0.021834,             0.46788,             0.35136,             0.35067,             0.19122,            0.099289,             0.20842,            0.028844,           0.0019315,           0.0019315,           0.0019315
                 165,            0.099121,             0.14089,            0.021653,             0.46754,             0.35139,             0.35073,             0.19122,            0.099289,             0.20847,            0.028843,            0.001882,            0.001882,            0.001882
                 166,            0.099146,             0.14243,            0.021703,             0.46905,             0.35078,             0.35065,             0.19142,            0.099288,              0.2085,            0.028846,           0.0018325,           0.0018325,           0.0018325
                 167,            0.098704,             0.14036,            0.021641,             0.46785,             0.35156,             0.35057,             0.19131,            0.099288,             0.20854,            0.028844,            0.001783,            0.001783,            0.001783
                 168,             0.09914,              0.1414,            0.021632,             0.47039,             0.35147,             0.35082,             0.19154,            0.099286,             0.20852,            0.028844,           0.0017335,           0.0017335,           0.0017335
                 169,            0.098696,             0.14129,            0.021686,             0.47285,             0.35103,             0.35089,             0.19138,            0.099287,             0.20847,            0.028844,            0.001684,            0.001684,            0.001684
                 170,            0.099197,             0.13986,            0.021569,             0.47163,             0.35214,             0.35132,             0.19163,            0.099287,             0.20859,            0.028844,           0.0016345,           0.0016345,           0.0016345
                 171,            0.099081,             0.14137,            0.021674,              0.4708,             0.35211,             0.35088,             0.19134,            0.099286,             0.20862,            0.028848,            0.001585,            0.001585,            0.001585
                 172,            0.098648,             0.14047,            0.021635,             0.47128,             0.35188,             0.35101,             0.19133,            0.099286,             0.20856,             0.02885,           0.0015355,           0.0015355,           0.0015355
                 173,            0.099062,             0.14013,            0.021581,             0.47106,             0.35167,             0.35106,             0.19154,            0.099286,             0.20863,            0.028851,            0.001486,            0.001486,            0.001486
                 174,            0.099085,             0.14078,            0.021644,             0.46999,              0.3515,             0.35108,             0.19161,            0.099284,             0.20859,            0.028853,           0.0014365,           0.0014365,           0.0014365
                 175,              0.0987,             0.14038,            0.021515,             0.46943,             0.35133,             0.35103,             0.19152,            0.099284,             0.20859,            0.028857,            0.001387,            0.001387,            0.001387
                 176,            0.098393,             0.14034,            0.021524,             0.46887,             0.35162,             0.35091,             0.19164,            0.099285,             0.20862,            0.028858,           0.0013375,           0.0013375,           0.0013375
                 177,            0.098822,              0.1415,            0.021613,             0.46782,             0.35214,             0.35078,             0.19155,            0.099286,             0.20864,             0.02886,            0.001288,            0.001288,            0.001288
                 178,            0.098559,             0.13991,            0.021454,              0.4679,             0.35225,             0.35078,             0.19151,            0.099287,             0.20869,            0.028864,           0.0012385,           0.0012385,           0.0012385
                 179,            0.098601,             0.14155,            0.021276,             0.46723,             0.35206,             0.35073,             0.19157,            0.099287,              0.2087,            0.028873,            0.001189,            0.001189,            0.001189
                 180,            0.098365,             0.13886,            0.021339,             0.46885,             0.35191,             0.35062,             0.19141,            0.099289,             0.20869,            0.028872,           0.0011395,           0.0011395,           0.0011395
                 181,            0.098476,             0.13963,            0.021277,             0.46731,             0.35264,             0.35079,             0.19131,             0.09929,             0.20876,            0.028873,             0.00109,             0.00109,             0.00109
                 182,            0.098672,              0.1397,            0.021364,             0.46727,             0.35261,             0.35081,             0.19128,            0.099291,             0.20874,            0.028872,           0.0010405,           0.0010405,           0.0010405
                 183,            0.098359,               0.139,            0.021215,             0.46765,             0.35269,             0.35091,             0.19135,            0.099293,             0.20873,            0.028876,            0.000991,            0.000991,            0.000991
                 184,            0.098734,             0.14019,            0.021254,             0.46739,             0.35286,              0.3508,              0.1914,            0.099295,             0.20878,            0.028883,           0.0009415,           0.0009415,           0.0009415
                 185,            0.098562,             0.13945,            0.021223,              0.4685,             0.35212,             0.35082,             0.19148,            0.099294,             0.20872,            0.028883,            0.000892,            0.000892,            0.000892
                 186,            0.098205,             0.14008,             0.02116,             0.46652,             0.35261,             0.35065,             0.19143,            0.099295,             0.20879,            0.028886,           0.0008425,           0.0008425,           0.0008425
                 187,            0.098355,             0.14038,            0.021234,              0.4667,             0.35297,             0.35053,             0.19136,            0.099296,             0.20884,            0.028891,            0.000793,            0.000793,            0.000793
                 188,            0.098217,              0.1385,             0.02114,              0.4665,             0.35333,              0.3509,             0.19154,            0.099298,             0.20881,            0.028891,           0.0007435,           0.0007435,           0.0007435
                 189,            0.098389,             0.13971,            0.021252,             0.46679,             0.35338,             0.35072,             0.19147,              0.0993,             0.20891,            0.028896,            0.000694,            0.000694,            0.000694
                 190,            0.098293,             0.13955,            0.021227,             0.46634,             0.35336,              0.3506,             0.19143,            0.099302,             0.20884,            0.028901,           0.0006445,           0.0006445,           0.0006445
                 191,            0.098676,             0.14036,            0.021213,             0.46511,             0.35402,              0.3506,             0.19154,            0.099305,             0.20888,            0.028902,            0.000595,            0.000595,            0.000595
                 192,            0.097883,             0.13966,            0.021029,             0.46534,             0.35404,             0.35079,             0.19177,            0.099306,             0.20903,            0.028904,           0.0005455,           0.0005455,           0.0005455
                 193,            0.098688,             0.14029,            0.021049,             0.46393,             0.35399,             0.35053,             0.19173,            0.099308,             0.20894,            0.028909,            0.000496,            0.000496,            0.000496
                 194,            0.098148,             0.13996,            0.020977,             0.46422,             0.35381,             0.35056,             0.19159,             0.09931,             0.20897,            0.028909,           0.0004465,           0.0004465,           0.0004465
                 195,            0.098367,             0.13807,            0.020952,             0.46389,             0.35389,             0.35054,             0.19163,            0.099312,             0.20896,            0.028912,            0.000397,            0.000397,            0.000397
                 196,            0.098491,             0.13919,             0.02097,             0.46356,             0.35406,             0.35068,             0.19175,            0.099314,             0.20904,            0.028914,           0.0003475,           0.0003475,           0.0003475
                 197,            0.098152,              0.1391,            0.020974,             0.46393,             0.35441,             0.35031,             0.19162,            0.099315,             0.20905,            0.028915,            0.000298,            0.000298,            0.000298
                 198,            0.098274,             0.13907,            0.020937,             0.46251,             0.35524,              0.3504,              0.1916,            0.099316,             0.20907,            0.028915,           0.0002485,           0.0002485,           0.0002485
                 199,            0.097999,             0.13917,            0.020931,             0.46297,             0.35473,             0.35036,             0.19166,            0.099317,             0.20905,            0.028918,            0.000199,            0.000199,            0.000199
