               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.10571,             0.15289,            0.027594,             0.35755,             0.29276,             0.26039,             0.13312,             0.10285,             0.20948,            0.031477,           0.0082675,           0.0082675,           0.0082675
                  37,             0.10599,               0.154,            0.027721,             0.39061,             0.28917,             0.27315,             0.13865,             0.10267,             0.20882,            0.031111,            0.008218,            0.008218,            0.008218
                  38,             0.10528,             0.15261,            0.027657,             0.36802,             0.29259,             0.27124,              0.1376,             0.10275,             0.20836,            0.030963,           0.0081685,           0.0081685,           0.0081685
                  39,             0.10532,             0.15304,            0.027579,             0.36722,             0.29343,              0.2747,             0.14133,             0.10231,             0.20884,            0.030885,            0.008119,            0.008119,            0.008119
                  40,             0.10496,             0.15182,            0.027314,             0.39301,             0.29274,             0.27808,             0.14183,             0.10243,             0.20814,            0.030879,           0.0080695,           0.0080695,           0.0080695
                  41,             0.10514,             0.15105,            0.027095,             0.38253,             0.29377,             0.27859,             0.14323,             0.10231,             0.20828,            0.030933,             0.00802,             0.00802,             0.00802
                  42,             0.10459,             0.15177,            0.027259,             0.38812,             0.29264,             0.27793,             0.14408,             0.10214,             0.20817,            0.030615,           0.0079705,           0.0079705,           0.0079705
                  43,             0.10496,             0.15408,            0.026935,             0.39208,             0.30616,             0.28952,             0.14908,             0.10203,              0.2081,            0.030409,            0.007921,            0.007921,            0.007921
                  44,             0.10483,             0.15194,            0.026835,             0.39114,             0.30307,              0.2892,             0.15121,             0.10188,             0.20797,            0.030537,           0.0078715,           0.0078715,           0.0078715
                  45,              0.1048,             0.15215,            0.026823,             0.39625,             0.30105,             0.28975,             0.15127,             0.10186,             0.20718,            0.030205,            0.007822,            0.007822,            0.007822
                  46,             0.10454,             0.15219,              0.0267,             0.39617,             0.30024,             0.28792,             0.14974,             0.10197,             0.20818,            0.030685,           0.0077725,           0.0077725,           0.0077725
                  47,             0.10512,             0.15279,            0.026695,             0.39177,             0.31164,             0.29151,              0.1523,             0.10168,             0.20821,            0.030602,            0.007723,            0.007723,            0.007723
                  48,             0.10462,             0.15138,            0.026364,             0.40532,             0.30383,             0.29027,             0.15212,             0.10169,              0.2076,            0.030743,           0.0076735,           0.0076735,           0.0076735
                  49,             0.10427,             0.15259,            0.026538,             0.40025,             0.30875,              0.2916,             0.15253,             0.10158,             0.20707,            0.030295,            0.007624,            0.007624,            0.007624
                  50,             0.10432,             0.15278,             0.02644,             0.38689,             0.32242,             0.29713,             0.15522,             0.10157,             0.20771,            0.030072,           0.0075745,           0.0075745,           0.0075745
                  51,             0.10374,             0.15153,            0.026138,             0.40834,             0.30974,             0.29799,             0.15542,             0.10149,             0.20746,            0.030319,            0.007525,            0.007525,            0.007525
                  52,             0.10418,             0.15067,            0.026146,             0.40221,              0.3151,             0.29876,             0.15689,             0.10141,             0.20805,            0.029965,           0.0074755,           0.0074755,           0.0074755
                  53,             0.10376,             0.15031,            0.025895,             0.41476,             0.31019,             0.29814,             0.15518,             0.10134,             0.20821,            0.030106,            0.007426,            0.007426,            0.007426
                  54,             0.10407,             0.15111,            0.026052,             0.41477,             0.31017,             0.30258,             0.15736,             0.10121,             0.20766,            0.029947,           0.0073765,           0.0073765,           0.0073765
                  55,             0.10428,             0.15302,             0.02603,             0.40893,             0.32103,             0.30525,             0.16022,             0.10117,             0.20731,            0.029869,            0.007327,            0.007327,            0.007327
                  56,             0.10394,             0.14989,            0.025916,             0.41082,             0.31801,             0.30201,             0.15863,             0.10124,             0.20673,            0.029955,           0.0072775,           0.0072775,           0.0072775
                  57,             0.10375,              0.1507,            0.025753,             0.41187,             0.31835,             0.30718,             0.16028,             0.10111,             0.20684,            0.029915,            0.007228,            0.007228,            0.007228
                  58,              0.1032,             0.15015,            0.025645,             0.40383,             0.32165,             0.30547,             0.15991,             0.10107,             0.20653,            0.029971,           0.0071785,           0.0071785,           0.0071785
                  59,              0.1034,             0.14975,            0.025579,             0.41059,             0.32504,             0.30714,              0.1618,             0.10097,             0.20743,            0.029843,            0.007129,            0.007129,            0.007129
                  60,             0.10342,             0.14967,            0.025721,             0.41324,             0.32351,             0.30881,             0.16242,             0.10095,             0.20714,            0.029802,           0.0070795,           0.0070795,           0.0070795
                  61,              0.1035,              0.1513,            0.025655,             0.42179,              0.3236,             0.31079,             0.16439,              0.1009,             0.20712,            0.029765,             0.00703,             0.00703,             0.00703
                  62,             0.10327,             0.15161,            0.025433,             0.41432,             0.32769,             0.31129,             0.16381,             0.10085,             0.20711,            0.029602,           0.0069805,           0.0069805,           0.0069805
                  63,             0.10335,               0.151,            0.025432,             0.41982,             0.32842,             0.31286,             0.16468,             0.10072,             0.20715,            0.029543,            0.006931,            0.006931,            0.006931
                  64,             0.10288,              0.1492,            0.025316,             0.42118,             0.33164,             0.31501,             0.16542,             0.10065,             0.20663,            0.029565,           0.0068815,           0.0068815,           0.0068815
                  65,              0.1032,             0.15005,            0.025283,             0.41867,             0.32996,             0.31679,             0.16705,             0.10074,             0.20689,            0.029701,            0.006832,            0.006832,            0.006832
                  66,             0.10285,             0.14851,            0.025127,             0.42264,              0.3251,             0.31585,             0.16886,             0.10068,             0.20691,            0.029654,           0.0067825,           0.0067825,           0.0067825
                  67,              0.1032,             0.14975,            0.025133,             0.42969,             0.33528,             0.32046,             0.16947,              0.1006,             0.20686,            0.029555,            0.006733,            0.006733,            0.006733
                  68,             0.10354,             0.15153,            0.025284,             0.43728,             0.32943,              0.3191,             0.16957,             0.10057,             0.20683,            0.029694,           0.0066835,           0.0066835,           0.0066835
                  69,             0.10275,              0.1487,            0.025031,              0.4302,             0.32688,             0.31939,             0.16977,             0.10062,             0.20724,            0.029495,            0.006634,            0.006634,            0.006634
                  70,             0.10295,             0.15003,            0.025106,             0.43011,             0.33015,             0.32134,             0.17093,              0.1005,             0.20667,            0.029398,           0.0065845,           0.0065845,           0.0065845
                  71,             0.10326,             0.15064,             0.02504,             0.43371,             0.33311,             0.32389,             0.17155,             0.10047,             0.20684,            0.029283,            0.006535,            0.006535,            0.006535
                  72,             0.10249,             0.14847,             0.02494,             0.42819,             0.33469,             0.32379,              0.1712,             0.10045,             0.20691,            0.029359,           0.0064855,           0.0064855,           0.0064855
                  73,             0.10278,             0.14937,            0.025018,             0.42271,              0.3381,              0.3235,             0.17089,              0.1004,             0.20701,            0.029323,            0.006436,            0.006436,            0.006436
                  74,              0.1028,             0.15021,            0.024916,             0.42702,             0.33383,              0.3227,             0.17168,             0.10036,             0.20683,            0.029356,           0.0063865,           0.0063865,           0.0063865
                  75,             0.10234,             0.14838,            0.024686,              0.4385,             0.33052,             0.32539,             0.17358,             0.10029,             0.20676,            0.029254,            0.006337,            0.006337,            0.006337
                  76,             0.10256,             0.14952,            0.024734,             0.43493,             0.33178,             0.32538,             0.17366,             0.10029,             0.20669,            0.029267,           0.0062875,           0.0062875,           0.0062875
                  77,               0.102,             0.14806,            0.024707,             0.44144,             0.33439,             0.32701,             0.17444,             0.10026,             0.20706,            0.029152,            0.006238,            0.006238,            0.006238
                  78,             0.10255,             0.14994,             0.02469,             0.43622,             0.33622,              0.3273,             0.17401,             0.10022,             0.20637,            0.029158,           0.0061885,           0.0061885,           0.0061885
                  79,             0.10231,             0.14918,            0.024562,             0.43469,             0.33921,             0.32906,             0.17524,             0.10025,             0.20728,            0.029177,            0.006139,            0.006139,            0.006139
                  80,             0.10232,             0.15012,            0.024618,             0.42972,             0.34045,             0.33069,              0.1764,             0.10021,             0.20717,            0.029145,           0.0060895,           0.0060895,           0.0060895
                  81,              0.1019,             0.14769,             0.02454,             0.42248,             0.34305,             0.32959,             0.17557,             0.10017,             0.20709,            0.029173,             0.00604,             0.00604,             0.00604
                  82,             0.10213,             0.14826,            0.024415,             0.43366,             0.34144,             0.32994,               0.176,             0.10018,              0.2067,            0.029158,           0.0059905,           0.0059905,           0.0059905
                  83,             0.10227,             0.14839,            0.024445,             0.43256,             0.34333,             0.33217,             0.17768,             0.10012,             0.20714,            0.029072,            0.005941,            0.005941,            0.005941
                  84,              0.1018,             0.14661,            0.024479,             0.43458,             0.34293,             0.33144,             0.17716,             0.10006,             0.20662,            0.028973,           0.0058915,           0.0058915,           0.0058915
                  85,             0.10229,             0.15088,            0.024528,             0.43855,             0.33856,             0.33047,             0.17602,             0.10009,             0.20673,            0.029091,            0.005842,            0.005842,            0.005842
                  86,             0.10189,             0.14822,            0.024399,              0.4421,             0.33384,               0.333,             0.17747,             0.10006,             0.20733,            0.029108,           0.0057925,           0.0057925,           0.0057925
                  87,             0.10222,             0.14941,            0.024369,             0.43653,             0.34118,             0.33372,             0.17867,             0.10003,             0.20695,            0.028994,            0.005743,            0.005743,            0.005743
                  88,             0.10213,             0.14925,             0.02443,             0.43876,             0.34144,             0.33358,             0.17867,            0.099942,             0.20694,            0.029044,           0.0056935,           0.0056935,           0.0056935
                  89,             0.10196,             0.14718,            0.023926,             0.45219,             0.33844,             0.33706,             0.18019,            0.099957,             0.20696,            0.029063,            0.005644,            0.005644,            0.005644
                  90,             0.10201,             0.14742,             0.02428,             0.45579,             0.33756,             0.33582,             0.17957,             0.09995,             0.20728,            0.028978,           0.0055945,           0.0055945,           0.0055945
                  91,             0.10162,             0.14803,            0.024029,             0.45714,             0.33715,             0.33539,             0.18042,            0.099888,             0.20718,             0.02902,            0.005545,            0.005545,            0.005545
                  92,             0.10212,             0.14876,            0.024045,             0.44969,             0.34179,             0.33636,              0.1805,            0.099866,             0.20714,            0.028976,           0.0054955,           0.0054955,           0.0054955
                  93,             0.10172,             0.14844,            0.023999,             0.44631,             0.34179,             0.33586,             0.18008,            0.099839,             0.20704,            0.028983,            0.005446,            0.005446,            0.005446
                  94,             0.10207,             0.15092,            0.024173,             0.44752,             0.33985,             0.33473,             0.18016,            0.099829,             0.20714,            0.029003,           0.0053965,           0.0053965,           0.0053965
                  95,              0.1016,             0.14917,            0.023962,             0.45105,             0.34249,             0.33801,             0.18181,            0.099804,             0.20703,            0.028939,            0.005347,            0.005347,            0.005347
                  96,             0.10139,             0.14668,            0.023834,             0.44867,             0.34632,             0.33803,             0.18151,            0.099783,             0.20726,            0.028909,           0.0052975,           0.0052975,           0.0052975
                  97,             0.10136,             0.14842,             0.02376,             0.45285,             0.34534,             0.33834,             0.18243,            0.099772,             0.20726,             0.02897,            0.005248,            0.005248,            0.005248
                  98,             0.10172,             0.14745,            0.023947,             0.46214,             0.34252,             0.33885,              0.1822,            0.099772,             0.20734,            0.028912,           0.0051985,           0.0051985,           0.0051985
